name,version,license,ecosystem
magic-string,1.2.3,MIT,npm
marc-mabe/php-enum,v4.7.2,BSD-3-Clause,composer
masterminds/html5,2.10.1,MIT,composer
mitt,3.0.1,MIT,npm
monolog/monolog,3.11.0,MIT,composer
mtdowling/jmespath.php,2.9.2,MIT,composer
nanoid,3.3.18,MIT,npm
nesbot/carbon,3.13.2,MIT,composer
nette/schema,v1.3.6,BSD-3-Clause OR GPL-2.0-only OR GPL-3.0-only,composer
nette/utils,v4.1.5,BSD-3-Clause OR GPL-2.0-only OR GPL-3.0-only,composer
nikic/php-parser,v5.8.0,BSD-3-Clause,composer
node-addon-api,7.1.1,MIT,npm
nunomaduro/termwind,v2.4.0,MIT,composer
openspout/openspout,v4.28.5,MIT,composer
oxc-walker,1.1.1,MIT,npm
paragonie/constant_time_encoding,v3.1.3,MIT,composer
pboivin/filament-peek,v2.4.0,MIT,composer
perfect-debounce,1.0.0,MIT,npm
phpdocumentor/reflection-common,2.2.0,MIT,composer
phpdocumentor/reflection-docblock,6.0.3,MIT,composer
phpdocumentor/type-resolver,2.0.0,MIT,composer
phpoption/phpoption,1.10.0,Apache-2.0,composer
phpseclib/phpseclib,4.0.1,MIT,composer
phpstan/phpdoc-parser,2.3.5,MIT,composer
picocolors,1.1.1,ISC,npm
picomatch,4.0.4,MIT,npm
pinia,3.0.4,MIT,npm
postcss,8.5.28,MIT,npm
pragmarx/google2fa,v9.1.0,MIT,composer
psr/cache,3.0.0,MIT,composer
psr/clock,1.0.0,MIT,composer
psr/container,2.0.2,MIT,composer
psr/event-dispatcher,1.0.0,MIT,composer
psr/http-client,1.0.3,MIT,composer
psr/http-factory,1.1.0,MIT,composer
psr/http-message,2.0,MIT,composer
psr/log,3.0.2,MIT,composer
psr/simple-cache,3.0.0,MIT,composer
psy/psysh,v0.12.24,MIT,composer
ralouphie/getallheaders,3.0.3,MIT,composer
ramsey/collection,2.1.1,MIT,composer
ramsey/uuid,4.9.3,MIT,composer
readdirp,5.0.0,MIT,npm
rfdc,1.4.1,MIT,npm
ryangjchandler/blade-capture-directive,v1.1.1,MIT,composer
sass,1.104.0,MIT,npm
sass-embedded-all-unknown,1.104.0,MIT,npm
sass-embedded-android-arm,1.104.0,MIT,npm
sass-embedded-android-arm64,1.104.0,MIT,npm
sass-embedded-android-riscv64,1.104.0,MIT,npm
sass-embedded-android-x64,1.104.0,MIT,npm
sass-embedded-darwin-arm64,1.104.0,MIT,npm
sass-embedded-darwin-x64,1.104.0,MIT,npm
sass-embedded-linux-arm,1.104.0,MIT,npm
sass-embedded-linux-arm64,1.104.0,MIT,npm
sass-embedded-linux-musl-arm,1.104.0,MIT,npm
sass-embedded-linux-musl-arm64,1.104.0,MIT,npm
sass-embedded-linux-musl-riscv64,1.104.0,MIT,npm
sass-embedded-linux-musl-x64,1.104.0,MIT,npm
sass-embedded-linux-riscv64,1.104.0,MIT,npm
sass-embedded-linux-x64,1.104.0,MIT,npm
sass-embedded-unknown-all,1.104.0,MIT,npm
sass-embedded-win32-arm64,1.104.0,MIT,npm
sass-embedded-win32-x64,1.104.0,MIT,npm
socialiteproviders/keycloak,5.3.0,MIT,composer
socialiteproviders/manager,4.9.2,MIT,composer
source-map-js,1.2.1,BSD-3-Clause,npm
spatie/color,1.8.0,MIT,composer
spatie/invade,2.1.0,MIT,composer
spatie/laravel-package-tools,1.93.1,MIT,composer
spatie/laravel-permission,6.25.0,MIT,composer
spatie/laravel-settings,3.9.0,MIT,composer
spatie/laravel-translatable,6.11.4,MIT,composer
spatie/temporary-directory,2.4.0,MIT,composer
speakingurl,14.0.1,BSD-3-Clause,npm
spomky-labs/cbor-php,3.3.4,MIT,composer
spomky-labs/pki-framework,1.6.1,MIT,composer
superjson,2.2.6,MIT,npm
symfony/clock,v7.4.8,MIT,composer
symfony/console,v7.4.18,MIT,composer
symfony/css-selector,v7.4.18,MIT,composer
symfony/deprecation-contracts,v3.7.1,MIT,composer
symfony/error-handler,v7.4.17,MIT,composer
symfony/event-dispatcher,v7.4.17,MIT,composer
symfony/event-dispatcher-contracts,v3.7.1,MIT,composer
symfony/filesystem,v7.4.18,MIT,composer
symfony/finder,v7.4.17,MIT,composer
symfony/html-sanitizer,v7.4.14,MIT,composer
symfony/http-foundation,v7.4.18,MIT,composer
symfony/http-kernel,v7.4.18,MIT,composer
symfony/mailer,v7.4.17,MIT,composer
symfony/mime,v7.4.18,MIT,composer
symfony/polyfill-ctype,v1.37.0,MIT,composer
symfony/polyfill-intl-grapheme,v1.41.0,MIT,composer
symfony/polyfill-intl-idn,v1.42.0,MIT,composer
symfony/polyfill-intl-normalizer,v1.42.0,MIT,composer
symfony/polyfill-mbstring,v1.38.2,MIT,composer
symfony/polyfill-php80,v1.37.0,MIT,composer
symfony/polyfill-php82,v1.38.1,MIT,composer
symfony/polyfill-php83,v1.41.0,MIT,composer
symfony/polyfill-php84,v1.38.1,MIT,composer
symfony/polyfill-php85,v1.41.0,MIT,composer
symfony/polyfill-uuid,v1.37.0,MIT,composer
symfony/process,v7.4.18,MIT,composer
symfony/property-access,v7.4.16,MIT,composer
symfony/property-info,v7.4.18,MIT,composer
symfony/routing,v7.4.18,MIT,composer
symfony/serializer,v7.4.18,MIT,composer
symfony/service-contracts,v3.7.3,MIT,composer
symfony/string,v7.4.15,MIT,composer
symfony/translation,v7.4.17,MIT,composer
symfony/translation-contracts,v3.7.1,MIT,composer
symfony/type-info,v7.4.17,MIT,composer
symfony/uid,v7.4.17,MIT,composer
symfony/var-dumper,v7.4.18,MIT,composer
tijsverkoyen/css-to-inline-styles,v2.4.0,BSD-3-Clause,composer
unhead,3.4.0,MIT,npm
unplugin,3.3.0,MIT,npm
vlucas/phpdotenv,v5.7.0,BSD-3-Clause,composer
voku/portable-ascii,2.1.1,MIT,composer
vue,3.5.42,MIT,npm
vue-flex-waterfall,2.3.1,MIT,npm
vue-router,4.6.4,MIT,npm
vue-slider-component,4.1.0-beta.7,MIT,npm
web-auth/cose-lib,4.7.1,MIT,composer
web-auth/webauthn-lib,5.3.8,MIT,composer
webmozart/assert,2.4.1,MIT,composer
webpack-virtual-modules,0.6.2,MIT,npm
z3d0x/filament-fabricator,v2.7.0,MIT,composer
